Course name,Study period,No of registered students,Main exam,At present,Excellent,Very Good,Good,Pass,,Excellent,Very Good,Good,Pass
Economics I: Microeconomics,2023,321,79.10,91.90,11.20,33.90,29.50,25.40,,12.54520739,16.07342281,13.33866429,9.712527656
Economics I: Microeconomics,2022,325,80.90,88.60,21.20,30.20,28.10,20.50,,,,,
Economics I: Microeconomics,2021,334,85.00,88.90,37.70,33.00,18.20,11.10,,,,,
Economics I: Microeconomics,2020,335,81.20,87.80,27.20,27.20,26.20,18.00,,,,,
Data Analytics I,2023,344,70.60,83.10,16.10,30.80,38.10,15.00,,,,,
Data Analytics I,2022,349,63.30,81.70,38.20,31.20,20.40,10.20,,,,,
Data Analytics I,2021,362,59.90,79.60,26.40,27.10,32.60,13.90,,,,,
Data Analytics I,2020,339,60.80,80.50,32.20,30.40,22.70,14.30,,,,,
Data Analytics II,2024,359,56.50,78.60,14.90,22.00,30.50,32.60,,,,,
Data Analytics II,2023,350,62.00,79.40,14.70,21.90,33.10,30.20,,,,,
Data Analytics II,2022,351,63.80,78.90,18.40,25.30,31.80,24.50,,,,,
Data Analytics II,2021,320,62.20,76.90,9.30,31.30,33.70,25.60,,,,,
Data Analytics III,2021,319,72.70,81.80,12.30,41.40,29.90,16.50,,,,,
Data Analytics III,2022,334,70.70,86.20,17.70,23.30,39.60,19.40,,,,,
Data Analytics III,2021,280,77.90,85.70,37.90,26.70,23.30,12.10,,,,,
Business Law I,2023,315,79.00,87.90,27.80,28.50,26.40,17.30,,,,,
Business Law I,2022,307,84.40,92.50,21.80,38.40,27.80,12.00,,,,,
Business Law I,2021,332,77.70,89.20,11.50,28.40,32.80,27.40,,,,,
Business Law I,2020,317,83.60,89.60,19.00,37.70,35.20,6.70,,,,,
Business Law II,2024,351,63.20,80.30,42.60,21.30,22.70,13.50,,,,,
Business Law II,2023,298,60.40,77.90,24.10,22.00,27.20,26.70,,,,,
Business Law II,2022,307,83.70,93.20,47.90,24.50,19.20,8.40,,,,,
Business Law II,2021,302,90.40,97.00,74.70,17.10,4.80,2.00,,,,,
Innovation,2024,299,83.60,94.60,30.70,45.60,19.40,4.20,,,,,
Innovation,2023,280,0.00,86.10,19.90,46.50,31.50,2.10,,,,,
Innovation,2022,303,0.00,97.70,4.40,27.40,39.90,28.40,,,,,
Innovation,2021,300,0.00,98.00,23.50,43.20,24.80,8.50,,,,,
Global Challenges I,2023,313,86.90,94.60,30.70,34.80,22.00,12.50,,,,,
Global Challenges I,2022,308,87.00,91.60,24.80,40.10,25.50,9.60,,,,,
Global Challenges I,2021,334,0.00,92.50,18.10,39.20,35.30,7.40,,,,,
Global Challenges I,2020,327,84.40,89.90,19.00,29.30,33.00,18.00,,,,,
Global Challenges II,2023,283,96.10,96.50,21.60,65.90,11.00,1.50,,,,,
Global Challenges II,2022,302,98.00,98.30,33.70,55.60,10.10,0.70,,,,,
Global Challenges II,2021,296,92.60,92.60,39.80,54.70,5.10,0.40,,,,,
Marketing,2024,307,73.90,94.10,24.90,41.20,28.40,5.50,,,,,
Marketing,2023,301,69.40,94.70,43.50,34.00,18.90,3.50,,,,,
Marketing,2022,306,79.40,92.50,20.50,37.80,31.10,10.60,,,,,
Marketing,2021,309,88.30,94.80,25.90,48.10,20.10,5.10,,,,,
Finance I,2024,316,59.20,83.90,28.70,29.10,21.90,20.40,,,,,
Finance I,2023,307,63.80,89.60,29.50,30.20,25.50,14.90,,,,,
Finance I,2022,323,75.20,89.50,28.70,25.60,24.20,21.50,,,,,
Finance I,2021,299,86.30,93.30,24.00,28.30,28.30,19.40,,,,,
Finance II,2023,317,82.30,90.90,33.30,29.50,17.40,19.80,,,,,
Finance II,2022,365,79.20,86.80,28.40,29.00,21.50,21.10,,,,,
Finance II,2021,296,84.50,87.80,23.80,22.70,20.40,33.10,,,,,
Accounting I: Understanding Financial Reports,2023,375,71.50,80.80,30.00,37.30,17.50,15.20,,,,,
Accounting I: Understanding Financial Reports,2022,356,61.20,76.10,24.00,23.60,31.00,21.40,,,,,
Accounting I: Understanding Financial Reports,2021,381,66.40,79.50,28.40,37.60,18.80,15.20,,,,,
Accounting I: Understanding Financial Reports,2020,330,55.20,79.40,21.00,26.00,27.50,24.80,,,,,
Accounting II: Analysing Performance,2023,320,72.80,83.80,33.60,31.00,22.80,12.70,,,,,
Accounting II: Analysing Performance,2022,355,67.30,85.90,23.60,25.60,30.20,20.70,,,,,
Accounting II: Analysing Performance,2021,311,74.30,81.40,40.30,27.30,17.40,15.00,,,,,
Management & Organization,2023,64,95.30,95.30,11.50,83.60,4.90,0.00,,,,,
Management & Organization,2022,50,86.00,86.00,16.30,74.40,9.30,0.00,,,,,
Management & Organization,2021,58,100.00,100.00,12.10,84.50,3.40,0.00,,,,,
Management & Organization,2020,59,96.60,98.30,25.90,60.30,13.80,0.00,,,,,
Management & Organization,2019,60,98.30,98.30,59.30,40.70,0.00,0.00,,,,,
Management & Organization,2018,53,96.20,100.00,26.40,52.80,20.80,0.00,,,,,
Management & Organization,2017,49,87.80,98.00,16.70,72.90,10.40,0.00,,,,,
Management: Organizational Leadership,2023,2,50.00,100.00,0.00,0.00,100.00,0.00,,,,,
Management: Organizational Leadership,2022,11,63.60,81.80,11.10,66.70,22.20,0.00,,,,,
Management: Organizational Leadership,2021,39,84.60,84.60,15.20,42.40,27.30,15.20,,,,,
Management: Organizational Leadership,2021,257,72.00,94.90,44.30,45.90,9.80,0.00,,,,,
Management: Organizational Leadership,2020,237,79.70,94.90,23.60,47.10,27.10,2.20,,,,,
Management: Organizational Leadership,2019,247,93.10,96.40,46.20,50.00,3.80,0.00,,,,,
Management: Organizational Leadership,2018,222,90.50,95.90,21.10,60.60,17.80,0.50,,,,,
